Ethoslab,GeminiTay,Pearl,Grian,Scar,Hypnotizd,TangoTek,Cubfan135,Zedaph,xBCrafted,FalseSymmetry,MumboJumbo,impulseSV,Docm77,JoeHills,VintageBeef,Keralis,iJevin,iskall85,BdoubleO100,Stress,Xisuma,ZombieCleo,Rendog,Run No.
1110.172968,1007.03694,994.5554107,1049.45502,1022.701592,1021.209277,1013.700288,995.8730987,1015.490656,1013.70013,1000.0,1000.0,1004.50081,954.2007823,994.6546561,972.5006519,1019.51847,1020.090395,992.0191221,881.0013038,926.8005215,926.7014342,906.4372012,899.3011734,242
,1007.03694,,,,1017.653721,,,,,,,,,,,,,,,,,,,243
,1016.965794,,,,,1013.700288,,,,,,,,,,,,,,,,,,244
,,,,,,1023.629142,,,,,,,,994.6546561,,,,,,,,,,245
,,,,,,,,,,,,,,972.5835098,,,,,,,,,,246
,,,,,,,,,,,,,,961.1118117,,,,,,,,,,247
,,,,,,,,,,,,,,939.0406655,,,,,,,,,,248
,,,,,,,,,,,,,,948.9695192,,,,,,,,,,249
,,,,,,,,,,,,,,,,,,,,,926.7014342,,,250
,,,,,,,,,,,,,,,,,,,,,904.6302879,,,251
,,,,,,,,,,,,,,,,,,,,,914.5591417,,,252
,,,,,,,,,,,,,,,,,,,,,903.0874436,,,253
,,,,,,,,,,,,,,,,,,,,,881.0162973,,,254
,,,,,,,,,,,,,,,,,,,,,890.9451511,,,255
,,,,,,,,,,,,,,,,,,,,,911.473453,,,256
,,,,,,,,1015.490656,,,,,,,,,,,,,,,,257
,,994.5554107,,,,,,1025.41951,,,,,,,,,,,,,,,,258
,,1004.484264,,,,,,,,,,,,,,,,,,,,,,259
,,1014.413118,,,,,,,,,,,,948.9695192,,,,,,,,,,260
,,1014.413118,,,,,,,,,,,,958.898373,,,,,,,,,,261
,,1024.341972,,,,,,,,,,,,,,,,,,,,,,262
,,1034.270826,,,,,,,,,,,,,,,,,,,,,,263
,,1044.199679,,,,,,,,,,,,,,,,,,,,,,264
,,1072.644124,,,,,,,,,,,,958.898373,,,,,,,,,,265
,,1072.644124,,,,,,,,,,,,968.8272267,,,,,,,,,,266
,,1069.088568,,,,,,,,,,,,,,,,,,,,,,267
,,1065.533013,,,,,,,,,,,,,,,,,,,,,,268
,,1093.977457,,,1017.653721,,,,,,,,,,,,,,,,,,,269
,,,,,1014.098165,,,,,1000.0,,,,968.8272267,,,,,,,,,,270
,,,,,,,,,,1000.0,,,,957.3555286,,,,,,,,,,271
,,,,,,,,,,1009.928854,,,,,,,,,,,,,,272
,,,,,,,,,,1019.857708,,,,,,,,,,,,,,273
,,,,,,,,1025.41951,,1029.786561,,,,,,,,,,,,,,274
,,,,,,,,1013.947812,,1029.786561,,,,,,,,,,,,,,275
,,,,,,,,,,1007.715415,,,,,,,,,,,,,,276
,,,,,,,,,,1017.644269,,,,,,,,992.0191221,,,,,,277
,,,,,,,,,,,,,,,,,,1001.947976,,,,,,278
,,,,,,,,,,,,,954.2007823,,,,,990.4762778,,,,,,279
,,,,,,,,,,,,,964.129636,,,,,990.4762778,,,,,,280
,,,,,,,,,,,,,964.129636,,,,,979.0045796,,,,,,281
,,,,,,,,,,,,,964.129636,,,,,988.9334334,,,,,,282
,,,,,,,,,,,,,952.6579379,957.3555286,,,,,,,,,,283
,,,,,,,,,,,,,,977.8838305,,,,,,,,,,284
,,,,,,,,,,,,,,987.8126843,,,,,,,,,,285
,,,,,,,,,,,,,952.6579379,976.3409862,,,,,,,,,,286
,,,,,,,,,,,,,962.5867917,976.3409862,,,,,,,,,,287
,,,,,,,995.8730987,,,,,,,986.2698399,,,,,,,,,,288
,,,,,,,1005.801952,,,,,,,,,,,,,,,,,289
,,,,,,,1015.730806,,,,,,,,,,,,,,,,,290
,,,,,,,1012.175251,,,,,,,,,,,,,,,,,291
,,,,,,,1008.619695,,,,,,,,,,,,,,,,,292
,,,,,,,1032.619695,,,1017.644269,,,,,,,,,,,,,,293
,,,,,1014.098165,,,,,1027.573123,,,,,,,,,,,,,,294
,,,,,1010.54261,,,,,,,,,,,,,,,,,,,295
,,,,,1006.987054,,,,,,,,,,,,,,,,,,,296
,,,,,1003.431499,,1032.619695,,,,,,,,,,,,,,,,,297
,,,,,,,1024.619695,,,,,,,,,,,,,,,,,298
,,,,,,,1013.147997,,,,,,,,,,,,,,,,,299
,,,,,,,1023.076851,,,,,,,,,,,,,,,,,300
,,,,,,,1011.605153,,,,,,,,,,,,,,,,,301
,,,,,,,1032.133454,,,,,,,,,,,,,,,,,302
,,,,,,,1020.661756,,,,,,,,,,1020.090395,,,,,,,303
,,,,,,,,,,,,,,,,,1030.019249,,,,,,,304
,,,,,,,,,,,,,,,,,1026.463694,,,,,,,305
,,,,,,,,,,,,,,,,,1018.463694,,,,,,,306
,,,,,,,,,,,,,,,,,,988.9334334,,,,,,307
,,,,,,,,,,,,,,,,,,985.3778778,,,,,,308
,,,,,,,,,,,,,,,,,,963.3067316,,,,,,309
,,,,,,,,,,1027.573123,,,,,,,,951.8350335,,,,,,310
,,,,,,,,,,1016.101424,,,,,,,,,,,,,,311
,,,,,,,,,,1026.030278,,,,,,,,,,,,,,312
,,,,,,,,,,1014.55858,1000.0,,,,,,,,,,,,,313
,,,,,,,,,,992.4874338,,,962.5867917,,,,,,,,,,,314
,,,,,,,,,,,,,951.1150936,,,,,,,,911.473453,,,315
,,,,,,,,,,,,,951.1150936,,,,,,,,900.0017548,,,316
,,,,,,,,,,,,,939.6433954,,,,,,,,900.0017548,,,317
,,,,,,,,,,,,,917.5722492,,,,,,,,900.0017548,,,318
,,,,,,,,,,,1000.0,,,,,,,,,,877.9306086,,,319
,,,,,,,,,,,977.9288538,,,,,,,,,,877.9306086,,,320
,,,,,,,,,,,977.9288538,,,,,,,,,,866.4589105,,,321
,,,,,,,,,,,987.8577075,,,,,,,,,,,,,322
