,461
TangoTek,1019.961158
VintageBeef,972.5006519
xBCrafted,1001.349253
Xisuma,889.8196645
Zedaph,1002.77004
JoeHills,967.3381038
Pearl,1073.790415
Keralis,956.7267082
Rendog,838.2576951
iJevin,954.5002145
BdoubleO100,932.9921505
Cubfan135,1014.437969
Docm77,966.7011637
Stress,926.8005215
Ethoslab,1234.426487
GeminiTay,1086.84167
Grian,1069.104142
Hypnotizd,1015.501767
impulseSV,988.8455849
iskall85,947.2985064
Scar,1033.794304
ZombieCleo,842.0893751
FalseSymmetry,989.5469108
MumboJumbo,996.6956522
