Ethoslab,GeminiTay,Grian,Cubfan135,Zedaph,Hypnotizd,TangoTek,FalseSymmetry,MumboJumbo,xBCrafted,Keralis,Docm77,JoeHills,VintageBeef,Xisuma,iskall85,impulseSV,Stress,Scar,BdoubleO100,iJevin,Pearl,ZombieCleo,Rendog,Run No.
1220.161181,1095.527745,1060.177564,1002.726309,997.0474941,953.3949453,1014.353998,1012.775564,995.4051882,1002.95395,958.9939979,953.3410348,965.998956,968.3697479,887.0139471,939.9235984,982.7947335,942.6218487,992.0575247,915.2204993,949.5697203,1042.391278,829.5260204,821.5588844,465
,,,,,,,,,,,953.3410348,,,,,,,,,939.6497203,,,,466
,,,,,,,,,,,962.4760975,965.998956,,,,,,,,939.6497203,,,,467
,,,,,,,,,,,,956.078956,,,,,,,,939.6497203,,,,468
,,,1002.726309,,,,,,,,,956.078956,,,,,,,,916.7847831,,,,469
,,,1024.806309,,,,,,,,,956.078956,,,,,,,,,,,,470
,1095.527745,,,,,,,,,,,946.158956,,,,,,,,,,,,471
,1085.22266,,,,,,,,,,962.4760975,,,,,,,,,,,,,472
,,,,,953.3949453,,,,,,952.1710128,,,,,,,,,,,,,473
,,,,,975.0898606,,,,,,,946.158956,,,,,,,,,,,,474
,1085.22266,,,,,,,,,,,955.2940187,,,,,,,,,,,,475
,1107.30266,,,,,,,,,,,,,,,,,,,,,,,476
,,,,,,,,,,,,,,,,,,,,,,,,477
,,,,,,,,,,,,,,,,,,,,,,,,478
,,,,,,,,,,,,,,,,,,,,,,,,479
,,,,,,,,,,,,,,,,,,,,,,,,480
,,,,,,,,,,,,,,,,,,,,,,,,481
,,,,,,,,,,,,,,,,,,,,,,,,482
,,,,,,,,,,,,,,,,,,,,,,,,483
,,,1024.806309,,,,,,,,,,,,,,,,,,,,,484
,,,1016.806309,,,,,,,,,,,,,,,,,,1042.391278,,,485
,,,1016.806309,,,,,,,,,,,,,,,,,,1019.526341,,,486
,,,1006.501225,,,,,,,,,,,,,,,,,,,,,487
,,,996.1961398,,,,,,,,952.1710128,,,,,,,,,,,,,488
,,,996.1961398,,,,,,,,961.3060755,,,,,,,,,,,,,489
,,,996.1961398,,,,,,,,961.3060755,,,,,,,,,,,,,490
,,,1017.891055,,,,,,,,961.3060755,,,,,,,,,,,,,491
,,,,,,,,,,,951.3860755,,,,,,,,,,1019.526341,,,492
,,,,,,,,,,,,,,,,,,,,,996.6614039,,,493
,,,,,,,,,,,,,,,,,,,,,973.7964666,,,494
,,,,,,,,,,,,955.2940187,,,,,,,,,963.8764666,,,495
,,,,,,,,,,,,964.4290814,,,,,,,,,,,,496
