#,↑↓,Hermit,Phase 2,Phase 1
1,127,Pearl,1131,1003
2,0,Ethoslab,1119,1119
3,27,Scar,1076,1049
4,9,Grian,1068,1058
5,0,Zedaph,1046,1046
6,7,Hypnotizd,1033,1025
7,10,TangoTek,1033,1022
8,0,FalseSymmetry,1032,0
9,33,Cubfan135,1029,995
10,0,Keralis,1028,1028
11,2,Geminitay,1027,1024
12,0,impulseSV,1022,1022
13,0,XB,1018,1018
14,12,Docm77,1007,995
15,0,VintageBeef,994,994
16,22,Xisuma,989,966
17,-13,JoeHills,982,994
18,0,MumboJumbo,978,0
19,-29,iskall85,968,996
20,0,Stress,944,944
21,-72,iJevin,944,1015
22,0,RenDog,939,939
23,0,ZombieCleo,933,933
24,0,BdoubleO100,907,907
